GID_2;GID_0;Pays;GID.1_1;Nom 1 ;ENGTYPE_2
GRC.1.1_1;GRC;Grece;GRC.1_1;Egee du nord;Region
GRC.1.2_1;GRC;Grece;GRC.1_1;Egee du sud;Region
GRC.2.1_1;GRC;Grece;GRC.2_1;Athos;Region
GRC.3.1_1;GRC;Grece;GRC.3_1;Attique;Region
GRC.4.1_1;GRC;Grece;GRC.4_1;Crete;Region
GRC.5.1_1;GRC;Grece;GRC.5_1;Epire;Region
GRC.5.2_1;GRC;Grece;GRC.5_1;Macedoine;Region
GRC.6.1_1;GRC;Grece;GRC.6_1;Macedoine;Region
GRC.6.2_1;GRC;Grece;GRC.6_1;Macedoine;Region
GRC.7.1_1;GRC;Grece;GRC.7_1;Iles ioniennes;Region
GRC.7.2_1;GRC;Grece;GRC.7_1;Peloponnese;Region
GRC.7.3_1;GRC;Grece;GRC.7_1;Peloponnese;Region
GRC.8.1_1;GRC;Grece;GRC.8_1;Beotie;Region
GRC.8.2_1;GRC;Grece;GRC.8_1;Thessalie;Region
